,MovieName,EnglishName,OtherName,Director,Actors,Year,Country,Grenre,Rating10,RatingNum,Description
176,地球上的星星,Taare Zameen Par,心中的小星星(台)  /  每一个孩子都是特别的, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary / 阿...,2007,印度,剧情 儿童 家庭,8.8,83651人评价,天使保护事件始末。
177,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台), 达米安·沙泽勒 Damien Chazelle, 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,8.6,235187人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
178,碧海蓝天,Le grand bleu,碧海情深  /  夜海倾情, Luc Besson, 让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,1988,法国 美国 意大利,剧情 爱情,8.7,107550人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
179,恐怖游轮,Triangle,汪洋血迷宮(台)  /  轮回三角, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.3,319069人评价,不要企图在重复中寻找已经失去的爱。
180,达拉斯买家俱乐部,Dallas Buyers Club,续命枭雄(港)  /  药命俱乐部(台), 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,8.6,166400人评价,Jared Leto的腿比女人还美！
181,阿飞正传,阿飛正傳,Days of Being Wild, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,香港,犯罪 剧情 爱情,8.5,179636人评价,王家卫是一种风格，张国荣是一个代表。
182,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day, 杨德昌 Edward Yang, 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,台湾,剧情 犯罪,8.7,105706人评价,弱者送给弱者的一刀。
183,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台), 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,8.5,157817人评价,谁说王家卫镜头很晃？
184,秒速5厘米,秒速5センチメートル,秒速五厘米  /  秒速5公分, 新海诚 Makoto Shinkai, 水桥研二 Kenji Mizuhashi / 近藤好美 ...,2007,日本,动画 剧情 爱情,8.3,292550人评价,青春就是放弃和怀念。
185,谍影重重,The Bourne Identity,叛谍追击(港)  /  神鬼认证(台), 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,8.5,190226人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
186,海盗电台,The Boat That Rocked,出位乐人谷(港)  /  海盗电波, 理查德·柯蒂斯 Richard Curtis, 比尔·奈伊 Bill Nighy / 肯尼...,2009,英国 德国 法国,剧情 喜剧 音乐,8.6,164314人评价,生命不止，摇滚不死。
